nameOfIssuer/__text,titleOfClass/__text,cusip/__text,value/__text,shrsOrPrnAmt/sshPrnamt/__text,shrsOrPrnAmt/sshPrnamtType/__text,investmentDiscretion/__text,votingAuthority/Sole/__text,votingAuthority/Shared/__text,votingAuthority/None/__text
DNP SELECT INCOME FD INC,COM,23325P104,71047,6779,SH,SOLE,0,0,6779
DOCUSIGN INC,COM,256163106,7664,150,SH,SOLE,0,0,150
DOCUSIGN INC,NOTE 1/1,256163AD8,846598,875000,SH,SOLE,0,0,875000
DOLBY LABORATORIES INC,COM CL A,25659T107,1674,20,SH,SOLE,0,0,20
DOLLAR GEN CORP NEW,COM,256677105,242123,1426,SH,SOLE,0,0,1426
DOLLAR TREE INC,COM,256746108,1170530,8157,SH,SOLE,0,0,8157
DOMINION ENERGY INC,COM,25746U109,176656,3411,SH,SOLE,0,0,3411
DOORDASH INC,CL A,25809K105,11769,154,SH,SOLE,0,0,154
DOUBLEVERIFY HLDGS INC,COM,25862V105,3348,86,SH,SOLE,0,0,86
DOVER CORP,COM,260003108,59356,402,SH,SOLE,0,0,402
DOW INC,COM,260557103,268571,5043,SH,SOLE,0,0,5043
DRAFTKINGS INC NEW,COM CL A,26142V105,94085,3541,SH,SOLE,0,0,3541
DROPBOX INC,CL A,26210C104,1334,50,SH,SOLE,0,0,50
DT MIDSTREAM INC,COMMON STOCK,23345M107,57501,1160,SH,SOLE,0,0,1160
DTE ENERGY CO,COM,233331107,240921,2190,SH,SOLE,0,0,2190
DUKE ENERGY CORP NEW,COM NEW,26441C204,265182,2955,SH,SOLE,0,0,2955
DUPONT DE NEMOURS INC,COM,26614N102,161728,2264,SH,SOLE,0,0,2264
DUTCH BROS INC,CL A,26701L100,1565,55,SH,SOLE,0,0,55
DXC TECHNOLOGY CO,COM,23355L106,2913,109,SH,SOLE,0,0,109
DYNATRACE INC,COM NEW,268150109,73448,1427,SH,SOLE,0,0,1427
E2OPEN PARENT HOLDINGS INC,COM CL A,29788T103,4648,830,SH,SOLE,0,0,830
EA SERIES TRUST,STRIVE 500 ETF,02072L680,13009,459,SH,SOLE,0,0,459
EASTGROUP PPTYS INC,COM,277276101,1829,11,SH,SOLE,0,0,11
EASTMAN CHEM CO,COM,277432100,21600,258,SH,SOLE,0,0,258
EATON CORP PLC,SHS,G29183103,4953800,24634,SH,SOLE,0,0,24634
EATON VANCE TAX-MANAGED GLOB,COM,27829C105,9708,1181,SH,SOLE,0,0,1181
EBAY INC.,COM,278642103,260364,5826,SH,SOLE,0,0,5826
ECOLAB INC,COM,278865100,495133,2652,SH,SOLE,0,0,2652
EDISON INTL,COM,281020107,11807,170,SH,SOLE,0,0,170
EDITAS MEDICINE INC,COM,28106W103,453,55,SH,SOLE,0,0,55
EDWARDS LIFESCIENCES CORP,COM,28176E108,530418,5623,SH,SOLE,0,0,5623
EHEALTH INC,COM,28238P109,28526,3548,SH,SOLE,0,0,3548
ELBIT SYS LTD,ORD,M3760D101,159855,765,SH,SOLE,0,0,765
ELECTRONIC ARTS INC,COM,285512109,64591,498,SH,SOLE,0,0,498
ELEVANCE HEALTH INC,COM,036752103,1108010,2494,SH,SOLE,0,0,2494
EMBECTA CORP,COMMON STOCK,29082K105,4104,190,SH,SOLE,0,0,190
EMCOR GROUP INC,COM,29084Q100,35478,192,SH,SOLE,0,0,192
EMCORE CORP,COM NEW,290846203,53,70,SH,SOLE,0,0,70
EMERSON ELEC CO,COM,291011104,3019535,33406,SH,SOLE,0,0,33406
EMPIRE ST RLTY TR INC,CL A,292104106,700,93,SH,SOLE,0,0,93
ENBRIDGE INC,COM,29250N105,93421,2515,SH,SOLE,0,0,2515
ENCORE CAP GROUP INC,COM,292554102,2286,47,SH,SOLE,0,0,47
ENCORE WIRE CORP,COM,292562105,62287,335,SH,SOLE,0,0,335
ENDAVA PLC,ADS,29260V105,1036,20,SH,SOLE,0,0,20
ENERGOUS CORP,COM,29272C103,120,500,SH,SOLE,0,0,500
ENERGY RECOVERY INC,COM,29270J100,30186,1080,SH,SOLE,0,0,1080
ENERGY TRANSFER L P,COM UT LTD PTN,29273V100,1952,154,SH,SOLE,0,0,154
ENERPLUS CORP,COM,292766102,1086,75,SH,SOLE,0,0,75
ENERSYS,COM,29275Y102,21704,200,SH,SOLE,0,0,200
ENOVIS CORPORATION,COM,194014502,4232,66,SH,SOLE,0,0,66
ENPHASE ENERGY INC,COM,29355A107,200139,1195,SH,SOLE,0,0,1195
ENTERGY CORP NEW,COM,29364G103,10030,103,SH,SOLE,0,0,103
ENTERPRISE PRODS PARTNERS L,COM,293792107,420556,15960,SH,SOLE,0,0,15960
ENVIVA INC,COM,29415B103,29469,2716,SH,SOLE,0,0,2716
EOG RES INC,COM,26875P101,146656,1282,SH,SOLE,0,0,1282
EQT CORP,COM,26884L109,41130,1000,SH,SOLE,0,0,1000
EQUIFAX INC,COM,294429105,64237,273,SH,SOLE,0,0,273
EQUINIX INC,COM,29444U700,61148,78,SH,SOLE,0,0,78
EQUITY COMWLTH,6.5% CNV PFD D,294628201,127000,5000,SH,SOLE,0,0,5000
EQUITY RESIDENTIAL,SH BEN INT,29476L107,19660,298,SH,SOLE,0,0,298
ESAB CORPORATION,COM,29605J106,4392,66,SH,SOLE,0,0,66
ESSEX PPTY TR INC,COM,297178105,19916,85,SH,SOLE,0,0,85
ETF MANAGERS GRP COMMDTY TR,BREAKWAVE DRY,26923H200,4163,750,SH,SOLE,0,0,750
ETF MANAGERS TR,ETFMG ALTR HRVST,26924G508,1193,399,SH,SOLE,0,0,399
ETF MANAGERS TR,ETHO CLIMATE LEA,26924G888,533,10,SH,SOLE,0,0,10
ETF MANAGERS TR,PRIME CYBR SCRTY,26924G201,39352,778,SH,SOLE,0,0,778
ETSY INC,COM,29786A106,6092,72,SH,SOLE,0,0,72
EURONET WORLDWIDE INC,COM,298736109,2231,19,SH,SOLE,0,0,19
EVERGY INC,COM,30034W106,24303,416,SH,SOLE,0,0,416
EVERSOURCE ENERGY,COM,30040W108,2837,40,SH,SOLE,0,0,40
EVOLENT HEALTH INC,CL A,30050B101,127260,4200,SH,SOLE,0,0,4200
EXACT SCIENCES CORP,COM,30063P105,227708,2425,SH,SOLE,0,0,2425
EXELON CORP,COM,30161N101,137620,3378,SH,SOLE,0,0,3378
EXPEDIA GROUP INC,COM NEW,30212P303,186948,1709,SH,SOLE,0,0,1709
EXPEDITORS INTL WASH INC,COM,302130109,6299,52,SH,SOLE,0,0,52
EXPONENT INC,COM,30214U102,74656,800,SH,SOLE,0,0,800
EXTRA SPACE STORAGE INC,COM,30225T102,3573,24,SH,SOLE,0,0,24
EXXON MOBIL CORP,COM,30231G102,11422477,106503,SH,SOLE,0,0,106503
F5 INC,COM,315616102,139679,955,SH,SOLE,0,0,955
FACTSET RESH SYS INC,COM,303075105,18030,45,SH,SOLE,0,0,45
FAIR ISAAC CORP,COM,303250104,75257,93,SH,SOLE,0,0,93
FARFETCH LTD,ORD SH CL A,30744W107,45300,7500,SH,SOLE,0,0,7500
FARMERS & MERCHANTS BANCORP,COM,30779N105,90040,4000,SH,SOLE,0,0,4000
FARMERS NATIONAL BANC CORP,COM,309627107,45856,3707,SH,SOLE,0,0,3707
FARMLAND PARTNERS INC,COM,31154R109,1247,102,SH,SOLE,0,0,102
FASTENAL CO,COM,311900104,405569,6875,SH,SOLE,0,0,6875
FAT BRANDS INC,CLASS A COM,30258N105,3440,500,SH,SOLE,0,0,500
FAZE HOLDINGS INC,COMMON STOCK,31423J102,99,200,SH,SOLE,0,0,200
FEDEX CORP,COM,31428X106,473804,1911,SH,SOLE,0,0,1911
FERRARI N V,COM,N3167Y103,2277,7,SH,SOLE,0,0,7
FIDELITY COVINGTON TRUST,HIGH DIVID ETF,316092840,32865,827,SH,SOLE,0,0,827
FIDELITY COVINGTON TRUST,MSCI CONSM DIS,316092204,45312,618,SH,SOLE,0,0,618
FIDELITY COVINGTON TRUST,MSCI ENERGY IDX,316092402,126635,5715,SH,SOLE,0,0,5715
FIDELITY COVINGTON TRUST,MSCI RL EST ETF,316092857,9761,389,SH,SOLE,0,0,389
FIDELITY NATL INFORMATION SV,COM,31620M106,51075,934,SH,SOLE,0,0,934
FIFTH THIRD BANCORP,COM,316773100,4906744,187209,SH,SOLE,0,0,187209
FIGS INC,CL A,30260D103,5789,700,SH,SOLE,0,0,700
FINVOLUTION GROUP,SPONSORED ADS,31810T101,974,212,SH,SOLE,0,0,212
FIRST CTZNS BANCSHARES INC N,CL A,31946M103,47488,37,SH,SOLE,0,0,37
FIRST MAJESTIC SILVER CORP,COM,32076V103,5650,1000,SH,SOLE,0,0,1000
FIRST SOLAR INC,COM,336433107,439489,2312,SH,SOLE,0,0,2312
FIRST TR EXCHANGE TRADED FD,WTR ETF,33733B100,72894,823,SH,SOLE,0,0,823
FIRST TR EXCHANGE-TRADED FD,DJ INTERNT IDX,33733E302,40748,250,SH,SOLE,0,0,250
FIRST TR EXCHANGE-TRADED FD,DORSEY WRT 5 ETF,33738R605,93117,1985,SH,SOLE,0,0,1985
FIRST TR EXCHANGE-TRADED FD,GBL WND ENRG ETF,33736G106,6988,400,SH,SOLE,0,0,400
FIRST TR EXCHANGE-TRADED FD,NO AMER ENERGY,33738D101,108000,4000,SH,SOLE,0,0,4000
FIRST TR EXCHANGE-TRADED FD,NY ARCA BIOTECH,33733E203,42727,279,SH,SOLE,0,0,279
FIRST TR EXCHANGE-TRADED FD,RISNG DIVD ACHIV,33738R506,117892,2503,SH,SOLE,0,0,2503
FIRST TR NAS100 EQ WEIGHTED,SHS,337344105,116094,1086,SH,SOLE,0,0,1086
FIRST TR VALUE LINE DIVID IN,SHS,33734H106,151558,3780,SH,SOLE,0,0,3780
FIRSTENERGY CORP,COM,337932107,76905,1978,SH,SOLE,0,0,1978
FISERV INC,COM,337738108,1249769,9907,SH,SOLE,0,0,9907
FISKER INC,CL A COM STK,33813J106,3046,540,SH,SOLE,0,0,540
FIVE BELOW INC,COM,33829M101,95126,484,SH,SOLE,0,0,484
FIVE9 INC,COM,338307101,825,10,SH,SOLE,0,0,10
FIVERR INTL LTD,ORD SHS,M4R82T106,1821,70,SH,SOLE,0,0,70
FLEETCOR TECHNOLOGIES INC,COM,339041105,66537,265,SH,SOLE,0,0,265
FLEX LNG LTD,SHS,G35947202,938,31,SH,SOLE,0,0,31
FLUOR CORP NEW,COM,343412102,40908,1382,SH,SOLE,0,0,1382
FLYWIRE CORPORATION,COM VTG,302492103,69747,2247,SH,SOLE,0,0,2247
FMC CORP,COM NEW,302491303,204338,1958,SH,SOLE,0,0,1958
FORD MTR CO DEL,COM,345370860,1017649,67260,SH,SOLE,0,0,67260
FORGE GLOBAL HOLDINGS INC,COM,34629L103,64024,26347,SH,SOLE,0,0,26347
FORTINET INC,COM,34959E109,217473,2877,SH,SOLE,0,0,2877
FORTIVE CORP,COM,34959J108,190589,2549,SH,SOLE,0,0,2549
FORTUNE BRANDS INNOVATIONS I,COM,34964C106,15110,210,SH,SOLE,0,0,210
FORUM ENERGY TECHNOLOGIES IN,COM,34984V209,511800,20000,SH,SOLE,0,0,20000
FOX CORP,CL A COM,35137L105,11832,348,SH,SOLE,0,0,348
FOX FACTORY HLDG CORP,COM,35138V102,1954,18,SH,SOLE,0,0,18
FRANCHISE GROUP INC,COM,35180X105,57280,2000,SH,SOLE,0,0,2000
FREEPORT-MCMORAN INC,CL B,35671D857,136120,3403,SH,SOLE,0,0,3403
FS CREDIT OPPORTUNITIES CORP,COMMON STOCK,30290Y101,18939,3987,SH,SOLE,0,0,3987
FTAI AVIATION LTD,SHS,G3730V105,4680393,147833,SH,SOLE,0,0,147833
FTAI INFRASTRUCTURE INC,COMMON STOCK,35953C106,313735,85023,SH,SOLE,0,0,85023
FTI CONSULTING INC,COM,302941109,52305,275,SH,SOLE,0,0,275
FULGENT GENETICS INC,COM,359664109,741,20,SH,SOLE,0,0,20
FULTON FINL CORP PA,COM,360271100,553851,46464,SH,SOLE,0,0,46464
GABELLI HLTHCARE & WELLNESS,SHS,36246K103,933,94,SH,SOLE,0,0,94
GALECTIN THERAPEUTICS INC,COM NEW,363225202,2160,1500,SH,SOLE,0,0,1500
GALLAGHER ARTHUR J & CO,COM,363576109,285441,1300,SH,SOLE,0,0,1300
GARMIN LTD,SHS,H2906T109,1117,11,SH,SOLE,0,0,11
GARRETT MOTION INC,COM,366505105,1113,147,SH,SOLE,0,0,147
GARTNER INC,COM,366651107,32229,92,SH,SOLE,0,0,92
GE HEALTHCARE TECHNOLOGIES I,COMMON STOCK,36266G107,166629,2051,SH,SOLE,0,0,2051
GENERAC HLDGS INC,COM,368736104,65391,438,SH,SOLE,0,0,438
GENERAL DYNAMICS CORP,COM,369550108,369044,1715,SH,SOLE,0,0,1715
GENERAL ELECTRIC CO,COM NEW,369604301,875050,7966,SH,SOLE,0,0,7966
GENERAL MLS INC,COM,370334104,254875,3323,SH,SOLE,0,0,3323
GENERAL MTRS CO,COM,37045V100,739593,19180,SH,SOLE,0,0,19180
GENPACT LIMITED,SHS,G3922B107,65447,1742,SH,SOLE,0,0,1742
GENTEX CORP,COM,371901109,141911,4850,SH,SOLE,0,0,4850
GENUINE PARTS CO,COM,372460105,333435,1970,SH,SOLE,0,0,1970
GILDAN ACTIVEWEAR INC,COM,375916103,826798,25645,SH,SOLE,0,0,25645
GILEAD SCIENCES INC,COM,375558103,214111,2778,SH,SOLE,0,0,2778
GINKGO BIOWORKS HOLDINGS INC,CL A SHS,37611X100,465,250,SH,SOLE,0,0,250
GLADSTONE LD CORP,COM,376549101,422,26,SH,SOLE,0,0,26
GLOBAL PMTS INC,COM,37940X102,361373,3668,SH,SOLE,0,0,3668
GLOBAL X FDS,DATA CTR REITS,37954Y236,20400,1500,SH,SOLE,0,0,1500
GLOBAL X FDS,GLBL X MLP ETF,37954Y343,5882,137,SH,SOLE,0,0,137
GLOBAL X FDS,LITHIUM BTRY ETF,37954Y855,1974,30,SH,SOLE,0,0,30
GLOBANT S A,COM,L44385109,3595,20,SH,SOLE,0,0,20
GLOBE LIFE INC,COM,37959E102,591948,5400,SH,SOLE,0,0,5400
GLOBUS MED INC,CL A,379577208,2977,50,SH,SOLE,0,0,50
GODADDY INC,CL A,380237107,1020191,13579,SH,SOLE,0,0,13579
GOLDMAN SACHS ETF TR,ACCES TREASURY,381430529,65848,658,SH,SOLE,0,0,658
GOLDMAN SACHS GROUP INC,COM,38141G104,1873248,5808,SH,SOLE,0,0,5808
GOLUB CAP BDC INC,COM,38173M102,41445,3070,SH,SOLE,0,0,3070
GOODYEAR TIRE & RUBR CO,COM,382550101,65664,4800,SH,SOLE,0,0,4800
GORMAN RUPP CO,COM,383082104,26322,913,SH,SOLE,0,0,913
GOSSAMER BIO INC,COM,38341P102,26400,22000,SH,SOLE,0,0,22000
GRACO INC,COM,384109104,38426,445,SH,SOLE,0,0,445
GRAINGER W W INC,COM,384802104,690017,875,SH,SOLE,0,0,875
GREENBRIER COS INC,COM,393657101,18620,432,SH,SOLE,0,0,432
GRIFOLS S A,SP ADR REP B NVT,398438408,1832,200,SH,SOLE,0,0,200
GSK PLC,SPONSORED ADR,37733W204,284693,7988,SH,SOLE,0,0,7988
HALEON PLC,SPON ADS,405552100,37142,4432,SH,SOLE,0,0,4432
HALLIBURTON CO,COM,406216101,76108,2307,SH,SOLE,0,0,2307
HALOZYME THERAPEUTICS INC,COM,40637H109,2814,78,SH,SOLE,0,0,78
HAMILTON BEACH BRANDS HLDG C,COM CL A,40701T104,8907,922,SH,SOLE,0,0,922
HARLEY DAVIDSON INC,COM,412822108,35210,1000,SH,SOLE,0,0,1000
HARTFORD FINL SVCS GROUP INC,COM,416515104,51855,720,SH,SOLE,0,0,720
HASBRO INC,COM,418056107,471925,7286,SH,SOLE,0,0,7286
HASHICORP INC,COM CL A,418100103,105872,4044,SH,SOLE,0,0,4044
HAYWARD HLDGS INC,COM,421298100,117617,9153,SH,SOLE,0,0,9153
HCA HEALTHCARE INC,COM,40412C101,27314,90,SH,SOLE,0,0,90
HEALTHCARE SVCS GROUP INC,COM,421906108,44790,3000,SH,SOLE,0,0,3000
HEICO CORP NEW,CL A,422806208,15185,108,SH,SOLE,0,0,108
HELIOS TECHNOLOGIES INC,COM,42328H109,247838,3750,SH,SOLE,0,0,3750
HELMERICH & PAYNE INC,COM,423452101,35450,1000,SH,SOLE,0,0,1000
HENRY JACK & ASSOC INC,COM,426281101,20415,122,SH,SOLE,0,0,122
HENRY SCHEIN INC,COM,806407102,58636,723,SH,SOLE,0,0,723
HERC HLDGS INC,COM,42704L104,5474,40,SH,SOLE,0,0,40
HERON THERAPEUTICS INC,COM,427746102,3712,3200,SH,SOLE,0,0,3200
HERSHA HOSPITALITY TR,PR SHS BEN INT,427825500,25,4,SH,SOLE,0,0,4
HERSHEY CO,COM,427866108,104375,418,SH,SOLE,0,0,418
HESS CORP,COM,42809H107,35891,264,SH,SOLE,0,0,264
HESS MIDSTREAM LP,CL A SHS,428103105,8069,263,SH,SOLE,0,0,263
HEWLETT PACKARD ENTERPRISE C,COM,42824C109,171680,10219,SH,SOLE,0,0,10219
HEXCEL CORP NEW,COM,428291108,51922,683,SH,SOLE,0,0,683
HIBBETT INC,COM,428567101,366,10,SH,SOLE,0,0,10
HIGHPEAK ENERGY INC,COM,43114Q105,653,60,SH,SOLE,0,0,60
HILTON WORLDWIDE HLDGS INC,COM,43300A203,118042,811,SH,SOLE,0,0,811
HIMAX TECHNOLOGIES INC,SPONSORED ADR,43289P106,1322,196,SH,SOLE,0,0,196
HINGHAM INSTN SVGS MASS,COM,433323102,154556,725,SH,SOLE,0,0,725
HIVE BLOCKCHAIN TECHNLGIES L,COM NEW,43366H704,1788,386,SH,SOLE,0,0,386
HOME DEPOT INC,COM,437076102,14090190,45359,SH,SOLE,0,0,45359
HONDA MOTOR LTD,AMERN SHS,438128308,12124,400,SH,SOLE,0,0,400
HONEYWELL INTL INC,COM,438516106,2435774,11739,SH,SOLE,0,0,11739
HORIZON THERAPEUTICS PUB L,SHS,G46188101,395562,3846,SH,SOLE,0,0,3846
HORMEL FOODS CORP,COM,440452100,24012,597,SH,SOLE,0,0,597
HOST HOTELS & RESORTS INC,COM,44107P104,135,8,SH,SOLE,0,0,8
HOWARD HUGHES CORP,COM,44267D107,1184,15,SH,SOLE,0,0,15
HP INC,COM,40434L105,753409,24533,SH,SOLE,0,0,24533
HUBBELL INC,COM,443510607,46750,141,SH,SOLE,0,0,141
HUBBELL INC,COM,443510607,82890,250,SH,SOLE,0,0,250
HUBSPOT INC,COM,443573100,158031,297,SH,SOLE,0,0,297
HUMANA INC,COM,444859102,123408,276,SH,SOLE,0,0,276
HUNTINGTON BANCSHARES INC,COM,446150104,2276693,211196,SH,SOLE,0,0,211196
HUNTINGTON INGALLS INDS INC,COM,446413106,91268,401,SH,SOLE,0,0,401
HYSTER YALE MATLS HANDLING I,CL A,449172105,51485,922,SH,SOLE,0,0,922
ICAHN ENTERPRISES LP,DEPOSITARY UNIT,451100101,56348,1941,SH,SOLE,0,0,1941
ICICI BANK LIMITED,ADR,45104G104,638255,27654,SH,SOLE,0,0,27654
ICON PLC,SHS,G4705A100,145867,583,SH,SOLE,0,0,583
IDEX CORP,COM,45167R104,91055,423,SH,SOLE,0,0,423
IDEXX LABS INC,COM,45168D104,57255,114,SH,SOLE,0,0,114
ILLINOIS TOOL WKS INC,COM,452308109,2369164,9471,SH,SOLE,0,0,9471
ILLUMINA INC,COM,452327109,50998,272,SH,SOLE,0,0,272
IMMATICS N.V,SHS,N44445109,924,80,SH,SOLE,0,0,80
IMPACT SHS TR I,NAACP MINO ETF,45259A209,82857,2618,SH,SOLE,0,0,2618
IMPINJ INC,COM,453204109,58004,647,SH,SOLE,0,0,647
INDEXIQ ETF TR,HEDGE MLTI ETF,45409B107,32306,1083,SH,SOLE,0,0,1083
INGERSOLL RAND INC,COM,45687V106,7190,110,SH,SOLE,0,0,110
INMUNE BIO INC,COM,45782T105,3814,420,SH,SOLE,0,0,420
INNOVATIVE INDL PPTYS INC,COM,45781V101,9492,130,SH,SOLE,0,0,130
INNOVATOR ETFS TR,GRWT100 PWR BUF,45782C615,374578,9000,SH,SOLE,0,0,9000
INNOVATOR ETFS TR,US EQTY PWR BUF,45782C797,77986,2330,SH,SOLE,0,0,2330
INNOVATOR ETFS TR,US EQTY PWR BUF,45782C573,313668,9250,SH,SOLE,0,0,9250
INOGEN INC,COM,45780L104,324,28,SH,SOLE,0,0,28
INSPIRE MED SYS INC,COM,457730109,319446,984,SH,SOLE,0,0,984
INSULET CORP,COM,45784P101,133502,463,SH,SOLE,0,0,463
INTEL CORP,COM,458140100,3448811,103134,SH,SOLE,0,0,103134
INTERACTIVE BROKERS GROUP IN,COM CL A,45841N107,1911,23,SH,SOLE,0,0,23
INTERCONTINENTAL EXCHANGE IN,COM,45866F104,2736439,24199,SH,SOLE,0,0,24199
INTERFACE INC,COM,458665304,13185,1500,SH,SOLE,0,0,1500
INTERNATIONAL BUSINESS MACHS,COM,459200101,2028159,15157,SH,SOLE,0,0,15157
INTERNATIONAL FLAVORS&FRAGRA,COM,459506101,49505,622,SH,SOLE,0,0,622
INTERNATIONAL PAPER CO,COM,460146103,59676,1876,SH,SOLE,0,0,1876
INTERNATIONAL SEAWAYS INC,COM,Y41053102,1872,49,SH,SOLE,0,0,49
INTERPUBLIC GROUP COS INC,COM,460690100,58681,1521,SH,SOLE,0,0,1521
INTUIT,COM,461202103,1116770,2437,SH,SOLE,0,0,2437
INTUITIVE SURGICAL INC,COM NEW,46120E602,398361,1165,SH,SOLE,0,0,1165
INVENTRUST PPTYS CORP,COM NEW,46124J201,6642,287,SH,SOLE,0,0,287
INVESCO ACTIVELY MANAGED ETF,S&P500 DOWNSID,46090A705,63056,1893,SH,SOLE,0,0,1893
INVESCO ACTVELY MNGD ETC FD,OPTIMUM YIELD,46090F100,21700,1595,SH,SOLE,0,0,1595
INVESCO CURRENCYSHARES EURO,EURO SHS,46138K103,53631,532,SH,SOLE,0,0,532
INVESCO DB COMMDY INDX TRCK,UNIT,46138B103,44220,1948,SH,SOLE,0,0,1948
INVESCO DB MULTI-SECTOR COMM,AGRICULTURE FD,46140H106,16941,804,SH,SOLE,0,0,804
INVESCO EXCH TRADED FD TR II,FTSE RAFI DEV,46138E743,12364,275,SH,SOLE,0,0,275
INVESCO EXCH TRADED FD TR II,FTSE RAFI EMNG,46138E727,83638,4487,SH,SOLE,0,0,4487
INVESCO EXCH TRADED FD TR II,FTSE RAFI SML,46138E735,10534,342,SH,SOLE,0,0,342
INVESCO EXCH TRADED FD TR II,GBL CLEAN ENRG,46138G847,26838,1420,SH,SOLE,0,0,1420
INVESCO EXCH TRADED FD TR II,KBW BK ETF,46138E628,8301,202,SH,SOLE,0,0,202
INVESCO EXCH TRADED FD TR II,PFD ETF,46138E511,65730,5781,SH,SOLE,0,0,5781
INVESCO EXCH TRADED FD TR II,RUSEL 1000 EQL,46138E420,22259,532,SH,SOLE,0,0,532
INVESCO EXCH TRADED FD TR II,S&P GBL WATER,46138E263,98965,1925,SH,SOLE,0,0,1925
INVESCO EXCH TRADED FD TR II,SOLAR ETF,46138G706,43710,612,SH,SOLE,0,0,612
INVESCO EXCH TRD SLF IDX FD,BULSHS 2023 CB,46138J866,120497,5692,SH,SOLE,0,0,5692
INVESCO EXCHANGE TRADED FD T,AEROSPACE DEFN,46137V100,35140,416,SH,SOLE,0,0,416
INVESCO EXCHANGE TRADED FD T,DYNMC MKT ETF,46137V712,65030,560,SH,SOLE,0,0,560
INVESCO EXCHANGE TRADED FD T,FTSE RAFI 1000,46137V613,92626,566,SH,SOLE,0,0,566
INVESCO EXCHANGE TRADED FD T,FTSE RAFI 1500,46137V597,16840,98,SH,SOLE,0,0,98
INVESCO EXCHANGE TRADED FD T,HIG YLD EQ DIV,46137V563,16472,857,SH,SOLE,0,0,857
INVESCO EXCHANGE TRADED FD T,S&P 500 GARP ETF,46137V431,128091,1411,SH,SOLE,0,0,1411
INVESCO EXCHANGE TRADED FD T,S&P 500 VLU MOMN,46137V423,29847,621,SH,SOLE,0,0,621
INVESCO EXCHANGE TRADED FD T,S&P MDCP MOMNTUM,46137V464,111328,1400,SH,SOLE,0,0,1400
INVESCO EXCHANGE TRADED FD T,S&P SMCP VLU MNT,46137V480,11053,238,SH,SOLE,0,0,238
INVESCO EXCHANGE TRADED FD T,S&P500 EQL DIS,46137V381,24826,180,SH,SOLE,0,0,180
INVESCO EXCHANGE TRADED FD T,S&P500 EQL HLT,46137V332,581742,1952,SH,SOLE,0,0,1952
INVESCO EXCHANGE TRADED FD T,S&P500 EQL IND,46137V324,40712,199,SH,SOLE,0,0,199
INVESCO EXCHANGE TRADED FD T,S&P500 EQL TEC,46137V282,948623,3226,SH,SOLE,0,0,3226
INVESCO EXCHANGE TRADED FD T,S&P500 EQL WGT,46137V357,3668126,24513,SH,SOLE,0,0,24513
INVESCO EXCHANGE TRADED FD T,WATER RES ETF,46137V142,14493,257,SH,SOLE,0,0,257
INVESCO EXCHANGE TRADED FD T,WILDERHIL CLAN,46137V134,4012,100,SH,SOLE,0,0,100
INVESCO QQQ TR,UNIT SER 1,46090E103,3467548,9386,SH,SOLE,0,0,9386
INVESTMENT MANAGERS SER TR I,AXS 2X INVTN NEW,46144X487,14736,200,SH,SOLE,0,0,200
INVITATION HOMES INC,COM,46187W107,13485,392,SH,SOLE,0,0,392
IONIS PHARMACEUTICALS INC,COM,462222100,7591,185,SH,SOLE,0,0,185
IPG PHOTONICS CORP,COM,44980X109,1766,13,SH,SOLE,0,0,13
IQVIA HLDGS INC,COM,46266C105,67431,300,SH,SOLE,0,0,300
IRHYTHM TECHNOLOGIES INC,COM,450056106,109536,1050,SH,SOLE,0,0,1050
IRON MTN INC DEL,COM,46284V101,47332,833,SH,SOLE,0,0,833
IRONWOOD PHARMACEUTICALS INC,COM CL A,46333X108,212800,20000,SH,SOLE,0,0,20000
ISHARES GOLD TR,ISHARES NEW,464285204,683041,18770,SH,SOLE,0,0,18770
ISHARES INC,CORE MSCI EMKT,46434G103,4526072,91825,SH,SOLE,0,0,91825
ISHARES INC,ESG AWR MSCI EM,46434G863,74080,2342,SH,SOLE,0,0,2342
ISHARES INC,MSCI CDA ETF,464286509,1400,40,SH,SOLE,0,0,40
ISHARES INC,MSCI EMRG CHN,46434G764,1031635,19847,SH,SOLE,0,0,19847
ISHARES INC,MSCI EURZONE ETF,464286608,13930,304,SH,SOLE,0,0,304
ISHARES INC,MSCI GBL GOLD MN,46434G855,583,25,SH,SOLE,0,0,25
ISHARES INC,MSCI GBL MIN VOL,464286525,318813,3251,SH,SOLE,0,0,3251
ISHARES INC,MSCI HONG KG ETF,464286871,144859,7494,SH,SOLE,0,0,7494
ISHARES INC,MSCI JPN ETF NEW,46434G822,1424,23,SH,SOLE,0,0,23
ISHARES INC,MSCI PAC JP ETF,464286665,2957,70,SH,SOLE,0,0,70
ISHARES INC,MSCI SWEDEN ETF,464286756,248,7,SH,SOLE,0,0,7
ISHARES INC,MSCI SWITZERLAND,464286749,740,16,SH,SOLE,0,0,16
ISHARES INC,US INTL HGH YLD,464286178,6117,144,SH,SOLE,0,0,144
ISHARES SILVER TR,ISHARES,46428Q109,71277,3412,SH,SOLE,0,0,3412
ISHARES TR,0-3 MNTH TREASRY,46436E718,15080398,149860,SH,SOLE,0,0,149860
ISHARES TR,0-5 YR TIPS ETF,46429B747,507717,5202,SH,SOLE,0,0,5202
ISHARES TR,1 3 YR TREAS BD,464287457,4587206,56576,SH,SOLE,0,0,56576
ISHARES TR,20 YR TR BD ETF,464287432,1853,18,SH,SOLE,0,0,18
